name;description;price;categories;quantity;images;source_url;color;material
Heliad Crossbody Bag;Heliad Crossbody Bag;200;Accessories/Men,Accessories/Women;7;https://images.arcteryx.com/details/1350x1710/F25-X000009828-Heliad-Crossbody-Tatsu-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009828-Heliad-Crossbody-Tatsu-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/heliad-crossbody-bag-9828;Red;
Ion Lightweight Chalk Bag;Ion Lightweight Chalk Bag;160;Accessories/Men,Accessories/Women;5;https://images.arcteryx.com/details/1350x1710/F25-X000007827-Ion-Lightweight-Chalk-Bag-Bliss-Side.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000007827-Ion-Lightweight-Chalk-Bag-Bliss-Side.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/ion-lightweight-chalk-bag;Red;Polyester
Konseal 15 Backpack;Konseal 15 Backpack;400;Accessories/Men,Accessories/Women;1;https://images.arcteryx.com/details/1350x1710/F25-X000009832-Konseal-15-Backpack-Forage-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009832-Konseal-15-Backpack-Forage-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/konseal-15-backpack-9832;Red;
Mallow Toque;Mallow Toque;220;Accessories/Men,Accessories/Women;9;https://images.arcteryx.com/details/1350x1710/F24-X000007423-Mallow-Toque-Rune-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F24-X000007423-Mallow-Toque-Rune-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mallow-toque;Red;Polyester
Mantis 1 Waist Pack;Mantis 1 Waist Pack;160;Accessories/Men,Accessories/Women;6;https://images.arcteryx.com/details/1350x1710/F25-X000009234-Mantis-1-Waist-Pack-Olive-Moss-Euphoria-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009234-Mantis-1-Waist-Pack-Olive-Moss-Euphoria-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mantis-1-waist-pack-9234;Red;Polyester
Mantis 16 Backpack;Mantis 16 Backpack;520;Accessories/Men,Accessories/Women;1;https://images.arcteryx.com/details/1350x1710/F25-X000010636-Mantis-16-Backpack-Solitude-Void-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000010636-Mantis-16-Backpack-Solitude-Void-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mantis-16-backpack-0636;;Polyester
Mantis 2 Waist Pack;Mantis 2 Waist Pack;200;Accessories/Men,Accessories/Women;10;https://images.arcteryx.com/details/1350x1710/F25-X000008973-Mantis-2-Waist-Pack-Olive-Moss-Euphoria-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000008973-Mantis-2-Waist-Pack-Olive-Moss-Euphoria-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mantis-2-waist-pack-8973;Red;Polyester
Mantis 26 Backpack;Mantis 26 Backpack;640;Accessories/Men,Accessories/Women;5;https://images.arcteryx.com/details/1350x1710/S25-X000006044-Mantis-26-Backpack-Ray-Olive-Moss-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000006044-Mantis-26-Backpack-Ray-Olive-Moss-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mantis-26-backpack;;
Mantis 26 Backpack;Mantis 26 Backpack;640;Accessories/Men,Accessories/Women;3;https://images.arcteryx.com/details/1350x1710/F25-X000009825-Mantis-26-Backpack-Bliss-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009825-Mantis-26-Backpack-Bliss-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mantis-26-backpack-9825;;
Align MX Pant Men's;Align MX Pant Men's;1400;Clothing/Men;8;https://images.arcteryx.com/details/1350x1710/F25-X000010582-Align-MX-Pant-Passport-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000010582-Align-MX-Pant-Passport-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/align-mx-pant-0582;Red;
